run_id,run_dir,output_dir,dataset,processed_samples,request_count,successful_request_count,failed_request_count,retry_count,text_request_count,multimodal_request_count,total_request_seconds,prompt_tokens,completion_tokens,total_tokens,cached_tokens,reasoning_tokens,requests_with_usage,avg_requests_per_sample,avg_request_seconds_per_sample,avg_seconds_per_request
run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify/run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify,seephys,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify/run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify,multi_physics,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify/run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify,physreason,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify/run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify,eee_bench,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify/run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify,emma_physics,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_35d01307443d95ab,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify_only/run_35d01307443d95ab,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify_only,cmm_math,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_2c5af38349259777,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify_only_v2/run_2c5af38349259777,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify_only_v2,cmm_math,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_f2f09f129b37c491,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagezip_autofix_run/run_f2f09f129b37c491,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagezip_autofix_run,cmm_math,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_71927aaf0d637bc5,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_llm_proxy_10_profile/run_71927aaf0d637bc5,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_llm_proxy_10_profile,cmm_math,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_7c206b2ae804ff58,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_llm_proxy_1_profile/run_7c206b2ae804ff58,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_llm_proxy_1_profile,cmm_math,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_dbc42c562b007671,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_rewrite_debug/run_dbc42c562b007671,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_rewrite_debug,cmm_math,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_e08a4fdf5db0c1a4,/home/lijingyue/qiujianbo/agent-pipeline/outputs/eee_bench_000_500/run_e08a4fdf5db0c1a4,/home/lijingyue/qiujianbo/agent-pipeline/outputs/eee_bench_000_500,eee_bench,500,3846,3830,120,104,2852,994,83126.167,0,0,0,0,0,0,7.692,166.252334,21.61366796671867
run_9f5f586a7c134721,/home/lijingyue/qiujianbo/agent-pipeline/outputs/eee_bench_0500_1000/run_9f5f586a7c134721,/home/lijingyue/qiujianbo/agent-pipeline/outputs/eee_bench_0500_1000,eee_bench,500,3862,3854,11,3,2867,995,44917.602,0,0,0,0,0,0,7.724,89.835204,11.63065820818229
run_4000ce634d5a7ee5,/home/lijingyue/qiujianbo/agent-pipeline/outputs/eee_bench_2660_2860/run_4000ce634d5a7ee5,/home/lijingyue/qiujianbo/agent-pipeline/outputs/eee_bench_2660_2860,eee_bench,200,1543,0,4629,3086,1146,397,1278.574,0,0,0,0,0,0,7.715,6.39287,0.8286286454957875
run_98c1c89903499d3e,/home/lijingyue/qiujianbo/agent-pipeline/outputs/emma_chemistry_full/run_98c1c89903499d3e,/home/lijingyue/qiujianbo/agent-pipeline/outputs/emma_chemistry_full,emma_chemistry,1176,8952,7162,4228,2438,6605,2347,115345.169,0,0,0,0,0,0,7.612244897959184,98.08262670068027,12.884849084003575
run_3b2b8a211abc49a5,/home/lijingyue/qiujianbo/agent-pipeline/outputs/emma_physics_000_100/run_3b2b8a211abc49a5,/home/lijingyue/qiujianbo/agent-pipeline/outputs/emma_physics_000_100,emma_physics,100,800,799,1,0,619,181,11466.105,0,0,0,0,0,0,8.0,114.66104999999999,14.332631249999999
run_eb4778ddd0ce7fdb,/home/lijingyue/qiujianbo/agent-pipeline/outputs/emma_physics_100_300/run_eb4778ddd0ce7fdb,/home/lijingyue/qiujianbo/agent-pipeline/outputs/emma_physics_100_300,emma_physics,56,448,442,6,0,341,107,6394.41,0,0,0,0,0,0,8.0,114.18589285714286,14.273236607142858
run_b6218ccfb480b121,/home/lijingyue/qiujianbo/agent-pipeline/outputs/emma_physics_300_500/run_b6218ccfb480b121,/home/lijingyue/qiujianbo/agent-pipeline/outputs/emma_physics_300_500,emma_physics,156,1248,1248,0,0,960,288,16404.827,0,0,0,0,0,0,8.0,105.15914743589744,13.14489342948718
run_7bdbc409d7382470,/home/lijingyue/qiujianbo/agent-pipeline/outputs/emma_physics_500_2788/run_7bdbc409d7382470,/home/lijingyue/qiujianbo/agent-pipeline/outputs/emma_physics_500_2788,emma_physics,156,1248,1245,6,3,958,290,16141.749,0,0,0,0,0,0,8.0,103.47275,12.93409375
run_8d24366e519d1ecf,/home/lijingyue/qiujianbo/agent-pipeline/outputs/mathvision_000_300/run_8d24366e519d1ecf,/home/lijingyue/qiujianbo/agent-pipeline/outputs/mathvision_000_300,mathvision,300,2281,2273,8,0,1706,575,26280.958,0,0,0,0,0,0,7.6033333333333335,87.60319333333332,11.521682595352916
run_72ab9b4332499938,/home/lijingyue/qiujianbo/agent-pipeline/outputs/mathvision_300_3040/run_72ab9b4332499938,/home/lijingyue/qiujianbo/agent-pipeline/outputs/mathvision_300_3040,mathvision,1162,10192,8355,4855,3018,8058,2134,117671.37,0,0,0,0,0,0,8.771084337349398,101.26623924268502,11.545464089481946
run_8bfddbd15981d736,/home/lijingyue/qiujianbo/agent-pipeline/outputs/mm_math_000_300/run_8bfddbd15981d736,/home/lijingyue/qiujianbo/agent-pipeline/outputs/mm_math_000_300,mm_math,300,2101,2079,23,1,1507,594,26175.732,0,0,0,0,0,0,7.003333333333333,87.25243999999999,12.458701570680628
run_f7493fa9a556ec6f,/home/lijingyue/qiujianbo/agent-pipeline/outputs/mm_math_3000_4000/run_f7493fa9a556ec6f,/home/lijingyue/qiujianbo/agent-pipeline/outputs/mm_math_3000_4000,mm_math,1000,7002,4883,6329,4210,5011,1991,66033.154,0,0,0,0,0,0,7.002,66.033154,9.430613253356183
